"Regional","Rodovia","Denominação","KM","Trecho","Município","Edital"
"DR 14","SP 413","Norival Pereira Mattos","24+435","MG/Miguelópolis","Miguelópolis","42018"
"DR 05","SP 226","s/d","1+300","Registro/Pariquera-Açu","Pariquera-Açu","42018"
"DR 01","SP 360","Engenheiro Constâncio Cintra","123+150","Amparo/Morungaba","Amparo","42018"
"DR 03","SP 304","Leonidas Pacheco Ferreira, Deputado","324+000","Jaú/Bariri","Bariri","42018"
"DR 03","SP 191","Geraldo de Barros","168+480","Botucatu/Santa Maria da Serra","Botucatu","42018"
"DR 03","SP 191","Geraldo de Barros","186+350","Botucatu/São Manuel","São Manuel","42018"
"DR 03","SP 321","Cezário José de Castilho","369+600","Iacanga/Bauru","Arealva","42018"
"DR 03","SP 304","Leonidas Pacheco Ferreira, Deputado","305+300","Itaju/Bariri","Bariri","42018"
"DR 02","SP 270","Raposo Tavares","193+700","Itapetininga/Angatuba","Angatuba","12024"
"DR 02","SP 270","Raposo Tavares","193+700","Angatuba/Itapetininga","Angatuba","12024"
"DR 06","SP 123","Floriano Rodrigues Pinheiro","7+800","BR 116/Tremembé","Taubaté","12024"
"DR 07","SP 249","Pedro Rodrigues Garcia","184","Taguaí/Fartura","Fartura","12024"
"DR 07","SP 249","Pedro Rodrigues Garcia","184","Fartura/Taguaí","Fartura","12024"
"DR 07","SP 270","Raposo Tavares","333,9","Piraju/Ourinhos","Bernadino de Campos","12024"
"DR 07","SP 375","Nelson Leopoldino","003,8","Divisa PR/Palmital","Palmital","12024"
"DR 08","SP 253","Cunha Bueno, Deputado","169+400","Pradópolis/Luiz Antônio","Luiz Antônio","12024"
"DR 08","SP 253","Cunha Bueno, Deputado","169+700","Luiz Antônio/Pradópolis","Luiz Antônio","12024"
"DR 11","SP 425","Assis Chateaubriand","284+000","Penápolis/Rodovia Marechal Rondon","Penápolis","12024"
"DR 14","SP 413","Norival Pereira Mattos","24+435","Divisa MG/SP 425","Miguelópolis","12024"
"DR 14","SP 425","Assis Chateaubriand","87+450","Guaíra/Barretos","Barretos","12024"
