"Regional","Elemento","Rodovia","KM","Largura (m)","Latitude","Longitude"
"DR 01","Acesso","SPA 109/008","0,282","4,5","-22,815972","-46,544196"
"DR 01","Acesso","SPA 031/107","0,284","4","-22,632406","-47,037564"
"DR 01","Acesso","SPA 148/360","0,665","4,5","-22,607848","-46,715639"
"DR 01","Acesso","SP 073","0,752","4","-22,937424","-47,073622"
"DR 01","Acesso","SP 107","0,801","8","-22,720061","-46,855835"
"DR 01","Acesso","SPA 148/360","0,855","4,5","-22,607613","-46,717501"
"DR 01","Acesso","SPA 148/360","0,972","5","-22,607769","-46,718616"
"DR 01","Acesso","SPA 148/360","1,072","4,5","-22,607321","-46,719481"
"DR 01","Acesso","SPA 137/360","1,106","4,5","-22,688188","-46,732987"
"DR 01","Acesso","SPA 066/300","1,134","2","-23,17778","-46,977992"
"DR 01","Acesso","SPA 109/008","1,165","5","-22,810091","-46,538528"
"DR 01","Acesso","SP 105","1,18","6","-22,594924","-46,70553"
"DR 01","Acesso","SP 081","1,233","16","-22,878684","-46,956202"
"DR 01","Acesso","SPA 148/360","1,445","4,5","-22,605281","-46,722383"
"DR 01","Acesso","SP 105","1,454","6","-22,592556","-46,706168"
"DR 01","Acesso","SP 073","1,465","6","-22,943001","-47,071312"
"DR 01","Acesso","SPA 053/332","1,592","2","-23,242015","-46,827561"
"DR 01","Acesso","SPA 127/340","1,734","4","-22,72813","-47,019832"
"DR 01","Acesso","SPA 009/010","1,761","5","-22,914938","-46,459743"
"DR 01","Acesso","SPA 148/360","1,767","4,5","-22,605591","-46,725492"
"DR 01","Acesso","SPA 009/010","1,78","4,5","-22,914861","-46,459919"
"DR 01","Acesso","SPA 113/008","1,879","4","-22,782634","-46,57708"
"DR 01","Acesso","SPA 109/008","1,979","8","-22,806136","-46,53218"
"DR 01","Acesso","SP 081","1,982","2","-22,881885","-46,951325"
"DR 01","Acesso","SPA 003/010","2,05","4,5","-22,896195","-46,382156"
"DR 01","Acesso","SPA 113/008","2,058","4","-22,782654","-46,578831"
"DR 01","Acesso","SPA 003/010","2,059","4,5","-22,896109","-46,381946"
"DR 01","Acesso","SPA 148/360","2,092","5","-22,606824","-46,728424"
"DR 01","Acesso","SP 073","2,119","4","-22,9487","-47,073028"
"DR 01","Acesso","SPA 109/008","2,13","8","-22,806681","-46,530758"
"DR 01","Acesso","SPA 113/008","2,141","4","-22,782661","-46,579608"
"DR 01","Acesso","SPA 127/340","2,251","4","-22,732629","-47,018447"
"DR 01","Acesso","SPA 109/008","2,273","6","-22,807005","-46,529413"
"DR 01","Acesso","SPA 053/332","2,352","2","-23,235279","-46,828043"
"DR 01","Acesso","SPA 137/360","2,404","8","-22,692691","-46,722257"
"DR 01","Acesso","SPA 109/008","2,476","8","-22,806815","-46,527395"
"DR 01","Acesso","SPA 127/340","2,507","4","-22,734743","-47,017482"
"DR 01","Acesso","SPA 137/360","2,532","5","-22,693225","-46,721226"
"DR 01","Acesso","SPA 137/360","2,57","10","-22,693382","-46,72087"
"DR 01","Acesso","SPA 053/332","2,692","2","-23,232681","-46,829704"
"DR 01","Acesso","SPA 137/360","2,758","5","-22,694334","-46,719292"
"DR 01","Acesso","SPA 066/300","2,875","2","-23,172582","-46,994016"
"DR 01","Acesso","SPA 109/008","2,88","6","-22,804705","-46,524259"
"DR 01","Acesso","SPA 066/300","2,893","2","-23,172518","-46,994182"
"DR 01","Acesso","SPA 003/010","3,062","4,5","-22,904442","-46,381629"
"DR 01","Acesso","SPA 009/010","3,112","5","-22,909752","-46,471598"
"DR 01","Acesso","SPA 109/008","3,198","6","-22,802655","-46,522268"
"DR 01","Acesso","SPA 109/008","3,217","6","-22,802413","-46,522144"
"DR 01","Acesso","SP 095","3,276","4,5","-22,926086","-46,560995"
"DR 01","Acesso","SP 105","3,435","4,5","-22,589351","-46,721947"
"DR 01","Acesso","SPA 053/332","3,54","4","-23,225595","-46,831899"
"DR 01","Acesso","SP 073","3,547","4","-22,960452","-47,078328"
"DR 01","Acesso","SP 081","3,731","4","-22,891067","-46,937675"
"DR 01","Acesso","SPA 053/332","3,774","4","-23,224196","-46,830168"
"DR 01","Acesso","SP 105","3,894","4,5","-22,591059","-46,725731"
"DR 01","Acesso","SPA 109/008","4,096","6","-22,800682","-46,513939"
"DR 01","Acesso","SPA 109/008","4,293","8","-22,799745","-46,512312"
"DR 01","Acesso","SPA 109/008","4,352","6","-22,7995","-46,511829"
"DR 01","Acesso","SPA 009/010","4,427","4,5","-22,91021","-46,484368"
"DR 01","Acesso","SPA 109/008","4,43","6","-22,799351","-46,511038"
"DR 01","Acesso","SPA 009/010","4,437","4,5","-22,910378","-46,484387"
"DR 01","Acesso","SP 073","4,955","4","-22,971993","-47,083888"
"DR 01","Acesso","SPA 109/008","5,006","6","-22,798294","-46,505688"
"DR 01","Acesso","SPA 109/008","5,025","6","-22,798198","-46,50538"
"DR 01","Acesso","SPA 109/008","5,072","7","-22,798297","-46,504992"
"DR 01","Acesso","SP 095","5,09","4,5","-22,916256","-46,572087"
"DR 01","Acesso","SPA 003/010","5,291","4,5","-22,916484","-46,383832"
"DR 01","Acesso","SPA 066/300","5,312","2","-23,16319","-47,015555"
"DR 01","Acesso","SP 107","5,556","4,5","-22,685791","-46,881379"
"DR 01","Acesso","SP 107","5,769","4,5","-22,684415","-46,882878"
"DR 01","Acesso","SPA 009/010","5,801","7","-22,916439","-46,495692"
"DR 01","Acesso","SPA 009/010","5,829","6","-22,916636","-46,495871"
"DR 01","Acesso","SPA 137/360","6,305","12","-22,696956","-46,690429"
"DR 01","Acesso","SP 073","6,4","4","-22,98451","-47,085189"
"DR 01","Acesso","SP 105","6,496","4,5","-22,576399","-46,741361"
"DR 01","Acesso","SPA 137/360","6,578","8","-22,694879","-46,689095"
"DR 01","Acesso","SPA 137/360","6,587","8","-22,694799","-46,689012"
"DR 01","Acesso","SPA 009/010","6,591","5","-22,921819","-46,500753"
"DR 01","Acesso","SP 107","6,608","5","-22,677488","-46,880983"
"DR 01","Acesso","SP 073","6,637","4","-22,986593","-47,085105"
"DR 01","Acesso","SP 105","6,681","5","-22,57668","-46,742864"
"DR 01","Acesso","SPA 109/008","6,791","4,5","-22,80295","-46,490491"
"DR 01","Acesso","SPA 109/008","6,81","8","-22,802739","-46,490321"
"DR 01","Acesso","SPA 109/008","6,829","6","-22,802687","-46,490136"
"DR 01","Acesso","SPA 109/008","6,857","5","-22,802718","-46,489821"
"DR 01","Acesso","SPA 109/008","7,011","6","-22,802128","-46,488453"
"DR 01","Acesso","SP 073","7,17","2","-22,991277","-47,085935"
"DR 01","Acesso","SP 073","7,239","4","-22,991941","-47,086028"
"DR 01","Acesso","SP 073","7,368","2","-22,993054","-47,085759"
"DR 01","Acesso","SPA 137/360","7,572","5","-22,689841","-46,683448"
"DR 01","Acesso","SPA 109/008","7,736","5","-22,801979","-46,481749"
"DR 01","Acesso","SPA 109/008","7,746","4,5","-22,802122","-46,481705"
"DR 01","Acesso","SPA 109/008","7,849","5","-22,802182","-46,480704"
"DR 01","Acesso","SP 073","7,968","4","-22,998394","-47,084884"
"DR 01","Acesso","SP 105","7,981","8","-22,571181","-46,749556"
"DR 01","Acesso","SP 073","8,027","4","-22,998939","-47,084795"
"DR 01","Acesso","SPA 003/010","8,08","4,5","-22,930279","-46,36697"
"DR 01","Acesso","SP 073","8,104","4","-22,999612","-47,084784"
"DR 01","Acesso","SPA 009/010","8,111","7","-22,933259","-46,507728"
"DR 01","Acesso","SPA 109/008","8,138","8","-22,802209","-46,47784"
"DR 01","Acesso","SPA 082/330","8,206","2","-22,952027","-46,991259"
"DR 01","Acesso","SPA 109/008","8,224","5","-22,801865","-46,477125"
"DR 01","Acesso","SP 105","8,226","8","-22,570285","-46,751643"
"DR 01","Acesso","SPA 109/008","8,401","5","-22,801304","-46,475436"
"DR 01","Acesso","SPA 082/330","8,439","4","-22,949961","-46,990717"
"DR 01","Acesso","SPA 082/330","8,512","4","-22,949329","-46,990523"
"DR 01","Acesso","SPA 009/010","8,521","8","-22,933929","-46,511592"
"DR 01","Acesso","SP 073","8,579","8","-23,001588","-47,088466"
"DR 01","Acesso","SPA 109/008","8,607","4,5","-22,802296","-46,473721"
"DR 01","Acesso","SP 095","8,694","4,5","-22,89601","-46,597702"
"DR 01","Acesso","SPA 109/008","8,755","4,5","-22,802891","-46,472461"
"DR 01","Acesso","SPA 009/010","8,913","5","-22,934658","-46,515323"
"DR 01","Acesso","SP 107","9,01","4,5","-22,662692","-46,897115"
"DR 01","Acesso","SP 105","9,159","4,5","-22,573292","-46,759313"
"DR 01","Acesso","SPA 003/010","9,178","4,5","-22,93332","-46,357602"
"DR 01","Acesso","SPA 109/008","9,223","5","-22,805585","-46,469005"
"DR 01","Acesso","SPA 009/010","9,491","8","-22,937441","-46,520187"
"DR 01","Acesso","SPA 009/010","9,501","8","-22,93747","-46,520257"
"DR 01","Acesso","SPA 009/010","9,555","10","-22,937408","-46,520838"
"DR 01","Acesso","SPA 109/008","9,56","10","-22,805715","-46,465952"
"DR 01","Acesso","SP 107","9,594","4,5","-22,657696","-46,898719"
"DR 01","Acesso","SPA 109/008","10,024","4,5","-22,806396","-46,461537"
"DR 01","Acesso","SP 095","10,038","4,5","-22,888546","-46,60726"
"DR 01","Acesso","SP 105","10,075","4,5","-22,577692","-46,764479"
"DR 01","Acesso","SP 105","10,261","4,5","-22,579041","-46,765547"
"DR 01","Acesso","SPA 109/008","10,325","5","-22,80524","-46,458869"
"DR 01","Acesso","SPA 109/008","10,429","5","-22,805325","-46,457837"
"DR 01","Acesso","SP 107","10,519","4,5","-22,649651","-46,900742"
"DR 01","Acesso","SP 081","10,533","2","-22,894094","-46,887016"
"DR 01","Acesso","SP 081","10,562","2","-22,89397","-46,886796"
"DR 01","Acesso","SPA 109/008","10,954","4,5","-22,806393","-46,452775"
"DR 01","Acesso","SP 095","11,02","6","-22,879966","-46,609253"
"DR 01","Acesso","SP 105","11,041","4,5","-22,582232","-46,772129"
"DR 01","Acesso","SPA 109/008","11,154","4,5","-22,805764","-46,450927"
"DR 01","Acesso","SPA 109/008","11,164","4,5","-22,805898","-46,450811"
"DR 01","Acesso","SP 133","11,259","5","-22,613251","-47,228479"
"DR 01","Acesso","SP 133","11,277","5","-22,61331","-47,228338"
"DR 01","Acesso","SP 105","11,523","4,5","-22,58575","-46,774788"
"DR 01","Acesso","SP 133","11,55","4,5","-22,614845","-47,22621"
"DR 01","Acesso","SP 133","11,559","5","-22,614913","-47,22614"
"DR 01","Acesso","SPA 109/008","11,676","8","-22,803102","-46,447197"
"DR 01","Acesso","SP 133","11,687","4,5","-22,615811","-47,225298"
"DR 01","Acesso","SP 073","11,754","4","-23,025584","-47,099786"
"DR 01","Acesso","SP 081","12,065","4","-22,887179","-46,878429"
"DR 01","Acesso","SPA 109/008","12,35","10","-22,797867","-46,444679"
"DR 01","Acesso","SP 147","12,371","5","-22,552246","-46,611406"
"DR 01","Acesso","SP 073","12,438","6","-23,030628","-47,099417"
"DR 01","Acesso","SP 095","12,664","4,5","-22,871681","-46,620938"
"DR 01","Acesso","SP 133","12,736","8","-22,62187","-47,217483"
"DR 01","Acesso","SP 133","12,793","6","-22,622224","-47,217063"
"DR 01","Acesso","SP 133","12,932","5","-22,622996","-47,216093"
"DR 01","Acesso","SP 107","13,132","5","-22,629853","-46,897186"
"DR 01","Acesso","SP 133","13,701","4,5","-22,628225","-47,21105"
"DR 01","Acesso","SPI 177/342","13,908","4","-22,397931","-46,856832"
"DR 01","Acesso","SP 147","14,139","4,5","-22,54744","-46,622249"
"DR 01","Acesso","SPA 003/010","14,22","4,5","-22,931197","-46,31695"
"DR 01","Acesso","SP 147","14,299","4,5","-22,547265","-46,623809"
"DR 01","Acesso","SPI 177/342","14,896","4","-22,399459","-46,847527"
"DR 01","Acesso","SP 095","14,902","4,5","-22,857764","-46,635001"
"DR 01","Acesso","SP 107","15,183","4,5","-22,613517","-46,903979"
"DR 01","Acesso","SP 147","15,298","4,5","-22,540333","-46,628683"
"DR 01","Acesso","SP 107","15,332","5","-22,612295","-46,904714"
"DR 01","Acesso","SPA 003/010","15,509","4,5","-22,936369","-46,306922"
"DR 01","Acesso","SP 147","15,557","4,5","-22,538043","-46,62861"
"DR 01","Acesso","SP 107","15,61","4,5","-22,610144","-46,906064"
"DR 01","Acesso","SP 107","15,749","10","-22,609071","-46,90673"
"DR 01","Acesso","SP 107","16,036","8","-22,607008","-46,908332"
"DR 01","Acesso","SP 147","16,399","4,5","-22,535003","-46,635032"
"DR 01","Acesso","SP 073","16,536","4","-23,057015","-47,124473"
"DR 01","Acesso","SPI 177/342","16,597","4","-22,404282","-46,836556"
"DR 01","Acesso","SPI 177/342","16,963","4","-22,403744","-46,833195"
"DR 01","Acesso","SPA 003/010","17,011","8","-22,941281","-46,295372"
"DR 01","Acesso","SPA 003/010","17,187","4,5","-22,940553","-46,293867"
"DR 01","Acesso","SP 095","17,561","5","-22,839427","-46,646631"
"DR 01","Acesso","SP 095","17,95","5","-22,837356","-46,649013"
"DR 01","Acesso","SPI 177/342","18,039","4","-22,400191","-46,824769"
"DR 01","Acesso","SP 147","18,06","4,5","-22,527493","-46,642642"
"DR 01","Acesso","SP 073","18,295","4","-23,064345","-47,137628"
"DR 01","Acesso","SP 073","18,76","4","-23,063719","-47,142092"
"DR 01","Acesso","SPI 177/342","18,934","2","-22,39557","-46,817747"
"DR 01","Acesso","SP 095","19,213","5","-22,837844","-46,661339"
"DR 01","Acesso","SPI 177/342","19,304","4","-22,396929","-46,814489"
"DR 01","Acesso","SPI 177/342","19,324","4","-22,397136","-46,814475"
"DR 01","Acesso","SP 095","19,452","4,5","-22,838241","-46,663578"
"DR 01","Acesso","SP 095","19,521","4,5","-22,838096","-46,664284"
"DR 01","Acesso","SP 095","19,77","4,5","-22,83701","-46,666368"
"DR 01","Acesso","SP 073","20,017","4","-23,072244","-47,145918"
"DR 01","Acesso","SP 073","20,036","4","-23,072395","-47,145916"
"DR 01","Acesso","SP 073","20,143","4","-23,073052","-47,146681"
"DR 01","Acesso","SPI 177/342","20,301","2","-22,403957","-46,808619"
"DR 01","Acesso","SP 147","20,5","6","-22,520124","-46,655437"
"DR 01","Acesso","SP 095","20,692","4,5","-22,833679","-46,674606"
"DR 01","Acesso","SP 095","20,76","5","-22,833134","-46,67486"
"DR 01","Acesso","SPI 177/342","20,809","4","-22,406934","-46,804899"
"DR 01","Acesso","SP 095","20,818","4,5","-22,832809","-46,675381"
"DR 01","Acesso","SP 095","20,985","5","-22,831289","-46,675844"
"DR 01","Acesso","SPI 177/342","21,014","4","-22,408668","-46,804086"
"DR 01","Acesso","SP 073","21,066","4","-23,078355","-47,153654"
"DR 01","Acesso","SP 095","21,281","5","-22,828643","-46,675624"
"DR 01","Acesso","SP 095","21,405","4,5","-22,827568","-46,675667"
"DR 01","Acesso","SPI 177/342","21,408","4","-22,410952","-46,801186"
"DR 01","Acesso","SPI 177/342","21,445","4","-22,411237","-46,800985"
"DR 01","Acesso","SPI 177/342","21,487","4","-22,411478","-46,800663"
"DR 01","Acesso","SPI 177/342","21,491","4","-22,411393","-46,800559"
"DR 01","Acesso","SPI 177/342","21,543","4","-22,41174","-46,800181"
"DR 01","Acesso","SPI 177/342","21,543","4","-22,411822","-46,800317"
"DR 01","Acesso","SPI 177/342","21,6","4","-22,412239","-46,800072"
"DR 01","Acesso","SPI 177/342","21,615","4","-22,41234","-46,799916"
"DR 01","Acesso","SPI 177/342","21,767","4","-22,413709","-46,799927"
"DR 01","Acesso","SPI 177/342","21,791","4","-22,413956","-46,799849"
"DR 01","Acesso","SP 147","21,927","4,5","-22,516997","-46,668495"
"DR 01","Acesso","SP 095","22,557","5","-22,821284","-46,683785"
"DR 01","Acesso","SP 095","22,597","5","-22,821164","-46,684089"
"DR 01","Acesso","SP 095","22,636","4,5","-22,820795","-46,684403"
"DR 01","Acesso","SP 095","22,746","8","-22,820354","-46,685371"
"DR 01","Acesso","SP 063","23,517","10","-22,999723","-46,808534"
"DR 01","Acesso","SP 107","23,555","10","-22,615882","-46,976392"
"DR 01","Acesso","SP 073","23,796","2","-23,088482","-47,175967"
"DR 01","Acesso","SP 063","23,886","8","-22,99717","-46,806217"
"DR 01","Acesso","SP 107","24,015","10","-22,616723","-46,9808"
"DR 01","Acesso","SP 063","24,085","10","-22,995986","-46,804811"
"DR 01","Acesso","SP 147","25,117","4,5","-22,49595","-46,68057"
"DR 01","Acesso","SP 147","25,136","4,5","-22,495804","-46,680614"
"DR 01","Acesso","SP 147","25,213","4,5","-22,495155","-46,680803"
"DR 01","Acesso","SP 095","25,616","4","-22,80694","-46,706377"
"DR 01","Acesso","SP 147","26,229","8","-22,48651","-46,679645"
"DR 01","Acesso","SP 063","26,395","8","-22,987731","-46,785066"
"DR 01","Acesso","SP 063","26,405","5","-22,987788","-46,784904"
"DR 01","Acesso","SP 095","26,929","4","-22,803208","-46,717858"
"DR 01","Acesso","SP 107","27,609","8","-22,622271","-47,015062"
"DR 01","Acesso","SP 107","27,619","5","-22,622348","-47,015179"
"DR 01","Acesso","SP 107","27,789","8","-22,622967","-47,016604"
"DR 01","Acesso","SP 107","27,988","8","-22,623809","-47,018367"
"DR 01","Acesso","SP 107","28,177","5","-22,62452","-47,020013"
"DR 01","Acesso","SP 107","28,207","5","-22,624654","-47,020291"
"DR 01","Acesso","SP 107","28,715","4,5","-22,626528","-47,024742"
"DR 01","Acesso","SP 063","29,291","5","-22,978787","-46,763362"
"DR 01","Acesso","SP 147","29,32","4,5","-22,471237","-46,699082"
"DR 01","Acesso","SP 147","29,34","4,5","-22,471108","-46,699255"
"DR 01","Acesso","SP 063","29,58","5","-22,979337","-46,760513"
"DR 01","Acesso","SP 095","30,171","2","-22,782254","-46,715661"
"DR 01","Acesso","SP 095","30,258","4","-22,781463","-46,715861"
"DR 01","Acesso","SP 107","30,303","4","-22,631383","-47,039041"
"DR 01","Acesso","SP 095","30,647","5","-22,780199","-46,719278"
"DR 01","Acesso","SP 095","30,647","8","-22,780366","-46,719349"
"DR 01","Acesso","SP 063","30,675","4,5","-22,981153","-46,75004"
"DR 01","Acesso","SP 063","30,764","4,5","-22,981292","-46,749207"
"DR 01","Acesso","SP 063","30,783","4,5","-22,981305","-46,748963"
"DR 01","Acesso","SP 095","30,841","8","-22,779477","-46,720968"
"DR 01","Acesso","SP 095","31,041","5","-22,779326","-46,722832"
"DR 01","Acesso","SP 095","31,06","4,5","-22,779378","-46,723047"
"DR 01","Acesso","SP 095","31,127","4,5","-22,779678","-46,723658"
"DR 01","Acesso","SP 095","31,978","4,5","-22,78129","-46,730885"
"DR 01","Acesso","SP 063","32,202","5","-22,978433","-46,735767"
"DR 01","Acesso","SP 095","32,317","8","-22,779229","-46,733345"
"DR 01","Acesso","SP 063","32,322","5","-22,978044","-46,734613"
"DR 01","Acesso","SP 063","32,341","4,5","-22,977976","-46,734495"
"DR 01","Acesso","SP 063","32,561","5","-22,97703","-46,732625"
"DR 01","Acesso","SP 063","32,711","8","-22,976228","-46,731372"
"DR 01","Acesso","SP 063","33,09","4,5","-22,974757","-46,728093"
"DR 01","Acesso","SP 147","33,588","4,5","-22,460017","-46,732552"
"DR 01","Acesso","SP 107","33,63","4,5","-22,618693","-47,06827"
"DR 01","Acesso","SP 095","33,708","5","-22,770117","-46,739394"
"DR 01","Acesso","SP 107","33,853","4,5","-22,618113","-47,070327"
"DR 01","Acesso","SP 095","34,218","4,5","-22,767717","-46,742945"
"DR 01","Acesso","SP 095","34,276","4,5","-22,767404","-46,743428"
"DR 01","Acesso","SP 147","34,47","4,5","-22,459641","-46,741155"
"DR 01","Acesso","SP 095","34,537","8","-22,766618","-46,745845"
"DR 01","Acesso","SP 107","34,592","5","-22,616617","-47,077394"
"DR 01","Acesso","SP 095","34,597","8","-22,766316","-46,746269"
"DR 01","Acesso","SP 095","34,636","4,5","-22,765918","-46,746475"
"DR 01","Acesso","SP 063","34,765","2","-22,965459","-46,7163"
"DR 01","Acesso","SP 063","34,814","20","-22,965236","-46,715906"
"DR 01","Acesso","SP 107","35,084","8","-22,614012","-47,081358"
"DR 01","Acesso","SP 147","35,091","5","-22,45823","-46,746947"
"DR 01","Acesso","SP 107","35,192","5","-22,613638","-47,082317"
"DR 01","Acesso","SP 107","35,439","10","-22,612277","-47,084263"
"DR 01","Acesso","SP 107","35,753","8","-22,610967","-47,086909"
"DR 01","Acesso","SP 107","35,963","8","-22,609758","-47,088556"
"DR 01","Acesso","SP 107","36,192","6","-22,60867","-47,090391"
"DR 01","Acesso","SP 107","36,232","5","-22,608621","-47,090868"
"DR 01","Acesso","SP 107","36,292","4,5","-22,608335","-47,091308"
"DR 01","Acesso","SP 063","36,313","2","-22,961089","-46,703453"
"DR 01","Acesso","SP 063","36,503","4","-22,96058","-46,701702"
"DR 01","Acesso","SP 107","36,512","8","-22,607103","-47,093102"
"DR 01","Acesso","SP 063","36,591","2","-22,960212","-46,700868"
"DR 01","Acesso","SP 107","36,942","8","-22,605155","-47,096676"
"DR 01","Acesso","SP 107","37,282","6","-22,603368","-47,099366"
"DR 01","Acesso","SP 107","37,302","10","-22,603465","-47,099611"
"DR 01","Acesso","SP 107","37,342","8","-22,603278","-47,099938"
"DR 01","Acesso","SP 063","37,637","2","-22,953915","-46,693574"
"DR 01","Acesso","SP 147","37,654","5","-22,461282","-46,770885"
"DR 01","Acesso","SP 107","38,012","5","-22,599816","-47,105395"
"DR 01","Acesso","SP 107","38,042","5","-22,599861","-47,105668"
"DR 01","Acesso","SP 063","38,304","2","-22,949282","-46,689754"
"DR 01","Acesso","SP 063","38,529","4","-22,947712","-46,688534"
"DR 01","Acesso","SP 107","38,562","5","-22,597202","-47,109843"
"DR 01","Acesso","SP 107","38,592","4,5","-22,597006","-47,11014"
"DR 01","Acesso","SP 147","39,09","12","-22,460834","-46,784803"
"DR 01","Acesso","SP 063","39,379","8","-22,942467","-46,683115"
"DR 01","Acesso","SP 107","39,88","4,5","-22,590774","-47,120726"
"DR 01","Acesso","SP 063","40,317","4","-22,944367","-46,674164"
"DR 01","Acesso","SP 063","41,074","2","-22,944585","-46,666759"
"DR 01","Acesso","SP 107","41,115","12","-22,584993","-47,130992"
"DR 01","Acesso","SP 107","41,135","5","-22,584706","-47,131033"
"DR 01","Acesso","SP 063","41,613","4","-22,94359","-46,661717"
"DR 01","Acesso","SP 107","41,68","8","-22,583749","-47,136052"
"DR 01","Acesso","SP 063","41,913","4","-22,943729","-46,658832"
"DR 01","Acesso","SP 107","41,988","4,5","-22,584384","-47,138969"
"DR 01","Acesso","SP 063","41,993","4","-22,943768","-46,658011"
"DR 01","Acesso","SP 107","41,998","10","-22,584642","-47,139052"
"DR 01","Acesso","SP 063","42,162","4","-22,944226","-46,656439"
"DR 01","Acesso","SP 107","43,242","6","-22,586926","-47,150848"
"DR 01","Acesso","SP 107","43,489","4,5","-22,586209","-47,153126"
"DR 01","Acesso","SP 063","43,858","4","-22,945087","-46,640284"
"DR 01","Acesso","SP 063","45,069","4","-22,944235","-46,629488"
"DR 01","Acesso","SP 095","45,177","4","-22,711803","-46,826249"
"DR 01","Acesso","SP 063","45,605","4","-22,946276","-46,624738"
"DR 01","Acesso","SP 095","46,622","4","-22,711126","-46,838679"
"DR 01","Acesso","SP 036","47,696","4","-23,297707","-46,4256"
"DR 01","Acesso","SP 036","47,731","2","-23,297406","-46,425735"
"DR 01","Acesso","SP 036","48,372","4","-23,292546","-46,42724"
"DR 01","Acesso","SP 036","49,176","4","-23,286087","-46,425951"
"DR 01","Acesso","SP 036","49,346","2","-23,284616","-46,425622"
"DR 01","Acesso","SP 095","49,409","4,5","-22,729231","-46,854657"
"DR 01","Acesso","SP 036","49,418","2","-23,284091","-46,425267"
"DR 01","Acesso","SP 008","49,516","2","-23,233977","-46,600967"
"DR 01","Acesso","SP 036","49,641","2","-23,282735","-46,423712"
"DR 01","Acesso","SP 008","49,667","4","-23,233406","-46,599879"
"DR 01","Acesso","SP 095","49,751","4,5","-22,731668","-46,856635"
"DR 01","Acesso","SP 008","49,839","4","-23,233583","-46,598349"
"DR 01","Acesso","SP 095","49,879","5","-22,732328","-46,857777"
"DR 01","Acesso","SP 008","50","5","00.0000000","00.0000000"
"DR 01","Acesso","SP 008","50,024","4","-23,232083","-46,597972"
"DR 01","Acesso","SP 036","50,233","2","-23,277864","-46,421639"
"DR 01","Acesso","SP 354","50,991","4","-23,252868","-46,791589"
"DR 01","Acesso","SP 354","51,248","4","-23,250921","-46,79022"
"DR 01","Acesso","SP 354","51,528","4","-23,248305","-46,790137"
"DR 01","Acesso","SP 354","51,558","4","-23,248112","-46,790137"
"DR 01","Acesso","SP 036","51,959","2","-23,263703","-46,418572"
"DR 01","Acesso","SP 095","51,968","4,5","-22,73391","-46,876185"
"DR 01","Acesso","SP 008","52,219","8","-23,215374","-46,593848"
"DR 01","Acesso","SP 354","52,258","4","-23,242147","-46,792498"
"DR 01","Acesso","SP 354","52,291","4","-23,241881","-46,79254"
"DR 01","Acesso","SP 354","52,291","4","-23,241871","-46,792677"
"DR 01","Acesso","SP 332","52,347","5","-23,264789","-46,828978"
"DR 01","Acesso","SP 036","52,404","2","-23,259859","-46,41806"
"DR 01","Acesso","SP 063","52,714","16","-22,969312","-46,574619"
"DR 01","Acesso","SP 036","52,742","2","-23,257184","-46,416568"
"DR 01","Acesso","SP 354","52,774","4","-23,23767","-46,791692"
"DR 01","Acesso","SP 095","52,911","7","-22,73292","-46,884476"
"DR 01","Acesso","SP 008","53,42","4,5","-23,206261","-46,588716"
"DR 01","Acesso","SP 008","53,618","4,5","-23,204696","-46,588942"
"DR 01","Acesso","SP 063","53,702","4","-22,969198","-46,565339"
"DR 01","Acesso","SP 008","53,703","4,5","-23,204063","-46,589463"
"DR 01","Acesso","SP 008","54,132","4,5","-23,200504","-46,588043"
"DR 01","Acesso","SP 036","54,148","2","-23,248634","-46,409654"
"DR 01","Acesso","SP 036","54,474","4","-23,246258","-46,411373"
"DR 01","Acesso","SP 008","54,598","5","-23,196519","-46,586655"
"DR 01","Acesso","SP 036","55,093","4","-23,242725","-46,408822"
"DR 01","Acesso","SP 008","55,286","4,5","-23,191173","-46,583679"
"DR 01","Acesso","SP 332","55,347","2","-23,245645","-46,846641"
"DR 01","Acesso","SP 332","55,474","4","-23,245448","-46,84794"
"DR 01","Acesso","SP 008","55,519","4,5","-23,189193","-46,583094"
"DR 01","Acesso","SP 008","55,678","4,5","-23,187822","-46,582616"
"DR 01","Acesso","SP 036","56,02","4","-23,235721","-46,40899"
"DR 01","Acesso","SP 036","56,438","4","-23,232165","-46,409495"
"DR 01","Acesso","SP 036","57,252","4","-23,227671","-46,406937"
"DR 01","Acesso","SP 036","57,87","4","-23,223272","-46,403717"
"DR 01","Acesso","SP 036","58,132","4","-23,220954","-46,403824"
"DR 01","Acesso","SP 036","58,359","2","-23,21889","-46,403313"
"DR 01","Acesso","SP 036","58,369","4","-23,218998","-46,403248"
"DR 01","Acesso","SP 008","58,564","2","-23,167173","-46,574924"
"DR 01","Acesso","SP 036","58,865","2","-23,216944","-46,400148"
"DR 01","Acesso","SP 008","59,814","2","-23,158329","-46,567917"
"DR 01","Acesso","SP 036","60,294","2","-23,208262","-46,390901"
"DR 01","Acesso","SP 354","60,968","4","-23,175639","-46,774396"
"DR 01","Acesso","SP 063","60,977","8","-22,963671","-46,519503"
"DR 01","Acesso","SP 063","60,997","10","-22,963782","-46,519305"
"DR 01","Acesso","SP 008","61,045","10","-23,152481","-46,562707"
"DR 01","Acesso","SP 063","61,137","5","-22,964422","-46,518188"
"DR 01","Acesso","SP 354","61,23","4","-23,173611","-46,773007"
"DR 01","Acesso","SP 354","61,258","4","-23,173336","-46,77299"
