"Regional","Elemento","Rodovia","KM","Largura (m)","Latitude","Longitude"
"DR 12","Acesso","SP 563","30,182","4","-22,273042","-52,034891"
"DR 12","Acesso","SP 501","30,327","4","-21,964111","-51,414317"
"DR 12","Acesso","SP 457","30,691","6","-22,460424","-51,006354"
"DR 12","Acesso","SP 501","30,882","4","-21,964421","-51,419794"
"DR 12","Acesso","SP 501","31,044","4","-21,963282","-51,42072"
"DR 12","Acesso","SP 501","31,111","4","-21,962718","-51,420814"
"DR 12","Acesso","SP 501","31,15","4","-21,96239","-51,420823"
"DR 12","Acesso","SP 457","31,161","6","-22,456538","-51,004525"
"DR 12","Acesso","SP 613","31,231","4","-22,503545","-52,452909"
"DR 12","Acesso","SP 613","31,241","8","-22,50344","-52,452932"
"DR 12","Acesso","SP 483","31,342","8","-22,553964","-51,357802"
"DR 12","Acesso","SP 483","31,362","8","-22,554171","-51,357719"
"DR 12","Acesso","SP 563","31,401","4","-22,264594","-52,027422"
"DR 12","Acesso","SP 501","31,458","8","-21,959652","-51,420566"
"DR 12","Acesso","SP 457","31,691","8","-22,452165","-51,002461"
"DR 12","Acesso","SP 501","32,271","4","-21,954192","-51,422785"
"DR 12","Acesso","SP 272","32,385","5","-22,279762","-51,824152"
"DR 12","Acesso","SP 483","32,507","4","-22,564007","-51,360907"
"DR 12","Acesso","SP 457","32,56","8","-22,444929","-50,999099"
"DR 12","Acesso","SP 501","32,933","4","-21,952324","-51,428627"
"DR 12","Acesso","SP 501","32,98","4","-21,952021","-51,429027"
"DR 12","Acesso","SP 501","33,083","4","-21,951286","-51,429577"
"DR 12","Acesso","SP 501","33,205","4","-21,950304","-51,430062"
"DR 12","Acesso","SP 457","33,32","4","-22,438596","-50,996345"
"DR 12","Acesso","SP 563","33,325","4","-22,251195","-52,015599"
"DR 12","Acesso","SP 501","33,449","4","-21,948118","-51,430259"
"DR 12","Acesso","SP 563","33,484","7","-22,25","-52,014685"
"DR 12","Acesso","SP 501","33,509","4","-21,947564","-51,430076"
"DR 12","Acesso","SP 501","33,727","8","-21,945631","-51,429982"
"DR 12","Acesso","SP 483","33,73","4","-22,574717","-51,363898"
"DR 12","Acesso","SP 483","33,73","4","-22,574711","-51,36377"
"DR 12","Acesso","SP 563","33,801","4","-22,24786","-52,012648"
"DR 12","Acesso","SP 563","33,821","4","-22,247667","-52,012644"
"DR 12","Acesso","SP 272","33,835","10","-22,27967","-51,838252"
"DR 12","Acesso","SP 501","33,876","4","-21,94425","-51,429831"
"DR 12","Acesso","SP 272","33,885","8","-22,279662","-51,838689"
"DR 12","Acesso","SP 457","34,049","8","-22,432419","-50,993958"
"DR 12","Acesso","SP 272","34,095","6","-22,279653","-51,840752"
"DR 12","Acesso","SP 272","34,125","10","-22,279758","-51,841036"
"DR 12","Acesso","SP 501","34,154","4","-21,941796","-51,429462"
"DR 12","Acesso","SP 501","34,303","4","-21,940455","-51,429413"
"DR 12","Acesso","SP 501","34,382","4","-21,939733","-51,429328"
"DR 12","Acesso","SP 483","34,391","8","-22,58062","-51,363792"
"DR 12","Acesso","SP 563","34,616","4","-22,242185","-52,007629"
"DR 12","Acesso","SP 501","34,66","4","-21,937256","-51,428855"
"DR 12","Acesso","SP 501","34,689","4","-21,937001","-51,428895"
"DR 12","Acesso","SP 501","34,798","4","-21,93605","-51,428571"
"DR 12","Acesso","SP 563","35,013","4","-22,239332","-52,005264"
"DR 12","Acesso","SP 457","35,069","4","-22,423856","-50,990541"
"DR 12","Acesso","SP 563","35,083","4","-22,238842","-52,004849"
"DR 12","Acesso","SP 457","35,089","8","-22,423645","-50,990468"
"DR 12","Acesso","SP 272","35,09","4","-22,279147","-51,850332"
"DR 12","Acesso","SP 457","35,279","4","-22,42205","-50,989863"
"DR 12","Acesso","SP 563","35,342","4","-22,237045","-52,003253"
"DR 12","Acesso","SP 272","35,42","6","-22,278448","-51,853508"
"DR 12","Acesso","SP 613","35,683","8","-22,49992","-52,495972"
"DR 12","Acesso","SP 501","35,789","4","-21,927489","-51,426593"
"DR 12","Acesso","SP 563","35,972","8","-22,232765","-51,999307"
"DR 12","Acesso","SP 563","36,101","8","-22,231757","-51,998561"
"DR 12","Acesso","SP 501","36,148","4","-21,924329","-51,426245"
"DR 12","Acesso","SP 457","36,228","8","-22,414052","-50,986792"
"DR 12","Acesso","SP 501","36,319","4","-21,923099","-51,425247"
"DR 12","Acesso","SP 272","36,349","4","-22,276961","-51,862349"
"DR 12","Acesso","SP 563","36,45","10","-22,229321","-51,996421"
"DR 12","Acesso","SP 501","36,509","4","-21,921805","-51,424024"
"DR 12","Acesso","SP 501","36,519","4","-21,921807","-51,423884"
"DR 12","Acesso","SP 613","37,08","8","-22,497703","-52,50944"
"DR 12","Acesso","SP 501","37,193","4","-21,916056","-51,42298"
"DR 12","Acesso","SP 483","37,315","8","-22,606334","-51,363876"
"DR 12","Acesso","SP 457","37,427","8","-22,4039","-50,982889"
"DR 12","Acesso","SP 613","37,699","8","-22,496877","-52,51537"
"DR 12","Acesso","SP 483","37,844","8","-22,611151","-51,36387"
"DR 12","Acesso","SP 483","37,894","4","-22,611587","-51,363993"
"DR 12","Acesso","SP 483","37,944","8","-22,612042","-51,363993"
"DR 12","Acesso","SP 563","38,166","8","-22,2175","-51,985812"
"DR 12","Acesso","SP 501","38,178","4","-21,907175","-51,423665"
"DR 12","Acesso","SP 457","38,187","12","-22,397415","-50,980403"
"DR 12","Acesso","SP 272","38,21","4","-22,273604","-51,880076"
"DR 12","Acesso","SP 457","38,277","8","-22,396632","-50,980224"
"DR 12","Acesso","SP 483","38,294","12","-22,615139","-51,363818"
"DR 12","Acesso","SP 483","38,344","12","-22,615564","-51,363988"
"DR 12","Acesso","SP 501","38,456","4","-21,90474","-51,423993"
"DR 12","Acesso","SP 501","38,583","4","-21,903565","-51,423876"
"DR 12","Acesso","SP 457","38,597","8","-22,393875","-50,979177"
"DR 12","Acesso","SP 483","38,713","12","-22,618896","-51,363993"
"DR 12","Acesso","SP 501","38,728","4","-21,90241","-51,423214"
