"Regional","Elemento","Rodovia","KM","Tipo","Extensão (m)","Dimensão (m)","Latitude montante","Longitude montante","Latitude jusante","Longitude jusante"
"DR 01","Bueiro","SPA 110/330","2,100","Bueiro Simples Tubular de Concreto","20","1","-22.8079","-47.1839","-22.8078","-47.1839"
"DR 01","Bueiro","SPA 021/010","2,160","Bueiro Simples Tubular de Concreto","21","0,6","-22.9823","-46.5258","-22.9824","-46.5262"
"DR 01","Bueiro","SPA 021/010","2,170","Bueiro Simples Tubular de Concreto","21","0,6","-22.9821","-46.5264","-22.9822","-46.5264"
"DR 01","Bueiro","SPA 021/010","2,180","Bueiro Simples Tubular de Concreto","21","0,6","-22.982","-46.5263","-22.982","-46.5263"
"DR 01","Bueiro","SPA 021/010","2,200","Bueiro Simples Tubular de Concreto","21","0,6","-22.9816","-46.5265","-22.9817","-46.5265"
"DR 01","Bueiro","SPA 115/330","2,290","Bueiro Simples Tubular de Concreto","11","0,8","-22.804","-47.2428","-22.8039","-47.2429"
"DR 01","Bueiro","SPA 115/330","2,291","Bueiro Simples Tubular de Concreto","11","0,8","-22.8042","-47.243","-22.8041","-47.243"
"DR 01","Bueiro","SP 147","2,300","Bueiro Simples Tubular de Concreto","14","0,6","-22.5665","-46.5355","-22.5663","-46.5355"
"DR 01","Bueiro","SPA 053/332","2,360","Bueiro Simples Tubular de Concreto","13,9","0,6","-23.2353","-46.8282","-23.2353","-46.8279"
"DR 01","Bueiro","SPA 115/330","2,400","Bueiro Simples Tubular de Concreto","60","1","-22.8043","-47.2426","-22.8044","-47.2427"
"DR 01","Bueiro","SPA 110/330","2,420","Bueiro Simples Tubular de Concreto","41,93","0,6","-22.8107","-47.1806","-22.8067","-47.1806"
"DR 01","Bueiro","SPA 113/008","2,420","Bueiro Simples Tubular de Concreto","11","0,3","-22.7828","-46.5827","-22.7828","-46.5829"
"DR 01","Bueiro","SPA 113/008","2,460","Bueiro Simples Tubular de Concreto","10","0,3","-22.7828","-46.5829","-22.7827","-46.5829"
"DR 01","Bueiro","SPA 003/010","2,530","Bueiro Simples Tubular de Concreto","11","0,6","-22.9004","-46.3808","-22.9","-46.3809"
"DR 01","Bueiro","SPA 110/330","2,560","Bueiro Simples Tubular de Concreto","36,7","0,6","-22.8065","-47.1802","-22.8065","-47.1802"
"DR 01","Bueiro","SPA 110/330","2,580","Bueiro Simples Tubular de Concreto","6,48","0,6","-22.8065","-47.1802","-22.8065","-47.1802"
"DR 01","Bueiro","SPA 021/010","2,670","Bueiro Simples Tubular de Concreto","35","0,4","-22.9792","-46.5292","-22.9792","-46.5293"
"DR 01","Bueiro","SPA 021/010","2,680","Bueiro Simples Tubular de Concreto","25","0,8","-22.9792","-46.5293","-22.9792","-46.5294"
"DR 01","Bueiro","SPA 066/300","2,720","Bueiro Simples Tubular de Concreto","14,5","0,6","-23.1724","-46.9935","-23.1724","-46.9936"
"DR 01","Bueiro","SPA 109/008","2,760","Bueiro Simples Tubular de Concreto","12","0,6","-22.8056","-46.5249","-22.8055","-46.5249"
"DR 01","Bueiro","SPA 110/330","2,850","Bueiro Simples Tubular de Concreto","20","0,6","-22.8049","-47.1779","-22.8049","-47.1779"
"DR 01","Bueiro","SPA 110/330","2,900","Bueiro Simples Tubular de Concreto","10","1","-22.8044","-47.178","-22.8043","-47.1779"
"DR 01","Bueiro","SPA 082/330","2,900","Bueiro Simples Tubular de Concreto","14,5","0,6","-22.9914","-47.0046","-22.9914","-47.0046"
"DR 01","Bueiro","SP 147","2,900","Bueiro Simples Tubular de Concreto","14","0,6","-22.5649","-46.5403","-22.5649","-46.5404"
"DR 01","Bueiro","SP 105","3,000","Bueiro Simples Tubular de Concreto","8,7","0,4","-22.5906","-46.7278","-22.5903","-46.7277"
"DR 01","Bueiro","SPA 021/010","3,010","Bueiro Simples Tubular de Concreto","22,2","0,6","-22.9768","-46.5313","-22.9768","-46.5317"
"DR 01","Bueiro","SPA 066/300","3,020","Bueiro Simples Tubular de Concreto","14","0,6","-23.1723","-46.9947","-23.1724","-46.9947"
"DR 01","Bueiro","SPA 021/010","3,030","Bueiro Simples Tubular de Concreto","7,4","0,6","-22.9766","-46.5319","-22.9765","-46.532"
"DR 01","Bueiro","SPA 021/010","3,070","Bueiro Simples Tubular de Concreto","13,6","0,6","-22.9762","-46.5321","-22.9762","-46.5322"
"DR 01","Bueiro","SPA 109/008","3,100","Bueiro Simples Tubular de Concreto","12","0,8","-22.8029","-46.5228","-22.8028","-46.5228"
"DR 01","Bueiro","SPA 021/010","3,180","Bueiro Simples Tubular de Concreto","15","0,6","-22.9753","-46.5327","-22.9753","-46.5327"
"DR 01","Bueiro","SPA 003/010","3,190","Bueiro Simples Tubular de Concreto","7,3","0,6","-22.9052","-46.3808","-22.9053","-46.3808"
"DR 01","Bueiro","SPA 009/010","3,270","Bueiro Simples Tubular de Concreto","18","0,6","-22.9094","-46.4744","-22.9095","-46.4745"
"DR 01","Bueiro","SPA 009/010","3,380","Bueiro Simples Tubular de Concreto","18","0,6","-22.9094","-46.4746","-22.9095","-46.4747"
"DR 01","Bueiro","SPA 021/010","3,390","Bueiro Simples Tubular de Concreto","15","0,6","-22.9745","-46.5333","-22.9745","-46.5334"
"DR 01","Bueiro","SPA 009/010","3,400","Bueiro Simples Tubular de Concreto","18","0,6","-22.9094","-46.4748","-22.9093","-46.4749"
"DR 01","Bueiro","SPA 003/010","3,440","Bueiro Simples Tubular de Concreto","6,8","0,6","-22.9052","-46.3808","-22.9053","-46.3808"
"DR 01","Bueiro","SPA 066/300","3,500","Bueiro Simples Tubular de Concreto","8","0,6","-23.1697","-47.0011","-23.1697","-47.001"
"DR 01","Bueiro","SPA 003/010","3,560","Bueiro Simples Tubular de Concreto","10","0,6","-22.9078","-46.3788","-22.9078","-46.379"
"DR 01","Bueiro","SPA 009/010","3,580","Bueiro Simples Tubular de Concreto","18","0,6","-22.9094","-46.4754","-22.9095","-46.4754"
"DR 01","Bueiro","SPA 003/010","3,740","Bueiro Simples Tubular de Concreto","8","0,8","-22.9088","-46.3802","-22.9088","-46.3802"
"DR 01","Bueiro","SPA 127/304","3,890","Bueiro Simples Tubular de Concreto","11","1","-22.8042","-47.243","-22.8041","-47.243"
"DR 01","Bueiro","SPA 053/332","3,900","Bueiro Simples Tubular de Concreto","8,7","0,8","-23.2232","-46.8296","-23.2232","-46.8294"
"DR 01","Bueiro","SP 147","3,900","Bueiro Simples Tubular de Concreto","14","0,6","-22.5639","-46.5484","-22.5644","-46.5481"
"DR 01","Bueiro","SPA 127/340","3,995","Bueiro Simples Tubular de Concreto","11","0,6","-22.7939","-47.2872","-22.7938","-47.2872"
"DR 01","Bueiro","SPA 066/300","4,000","Bueiro Simples Tubular de Concreto","10","0,6","-23.1681","-47.0046","-23.1682","-47.0045"
"DR 01","Bueiro","SPA 137/360","4,000","Bueiro Simples Tubular de Concreto","35,5","0,6","-22.6979","-46.7092","-22.6979","-46.7092"
"DR 01","Bueiro","SP 147","4,050","Bueiro Simples Tubular de Concreto","14","0,6","-22.5645","-46.5493","-22.5648","-46.5491"
"DR 01","Bueiro","SPA 109/008","4,050","Bueiro Simples Tubular de Concreto","8","0,4","-22.801","-46.5144","-22.801","-46.5144"
"DR 01","Bueiro","SP 081","4,050","Bueiro Simples Tubular de Concreto","40","0,6","-22.8868","-46.9305","-22.897","-46.9306"
"DR 01","Bueiro","SPA 066/300","4,290","Bueiro Simples Tubular de Concreto","14,5","0,6","-23.1663","-47.0075","-23.1664","-47.0074"
"DR 01","Bueiro","SPA 053/332","4,410","Bueiro Simples Tubular de Concreto","12","0,6","-23.2194","-46.8312","-23.2193","-46.8311"
"DR 01","Bueiro","SP 073","4,800","Bueiro Simples Tubular de Concreto","20","0,6","-22.9763","-47.0853","-22.9764","-47.0853"
"DR 01","Bueiro","SP 107","4,800","Bueiro Simples Tubular de Concreto","10","0,6","-22.6936","-46.8743","-22.693","-46.8748"
"DR 01","Bueiro","SPA 003/010","4,810","Bueiro Simples Tubular de Concreto","10","0,6","-22.9143","-46.3799","-22.9143","-46.3801"
"DR 01","Bueiro","SP 073","4,820","Bueiro Simples Tubular de Concreto","12","0,8","-22.9749","-47.0853","-22.9748","-47.0853"
"DR 01","Bueiro","SP 133","4,830","Bueiro Simples Tubular de Concreto","39,7","0,6","-22.638","-47.3256","-22.6381","-47.3258"
"DR 01","Bueiro","SPA 003/010","4,880","Bueiro Simples Tubular de Concreto","8","0,8","-22.8834","-46.3731","-22.9146","-46.3803"
"DR 01","Bueiro","SPA 003/010","4,950","Bueiro Simples Tubular de Concreto","8","0,8","-22.9149","-46.381","-22.9149","-46.381"
"DR 01","Bueiro","SPA 003/010","5,110","Bueiro Simples Tubular de Concreto","7,5","0,6","-22.9157","-46.3822","-22.9157","-46.3822"
"DR 01","Bueiro","SPA 003/010","5,220","Bueiro Simples Tubular de Concreto","8,4","0,6","-22.9162","-46.3831","-22.916","-46.3832"
"DR 01","Bueiro","SPA 109/008","5,250","Bueiro Simples Tubular de Concreto","8","0,6","-22.7992","-46.5125","-22.8031","-46.511"
"DR 01","Bueiro","SP 081","5,400","Bueiro Simples Tubular de Concreto","40","0,6","-22.8918","-46.9191","-22.8917","-46.919"
"DR 01","Bueiro","SPA 003/010","5,530","Bueiro Simples Tubular de Concreto","11","0,6","-22.9178","-46.3845","-22.9177","-46.3845"
"DR 01","Bueiro","SP 081","5,600","Bueiro Simples Tubular de Concreto","15","0,4","-22.89136","-46.91683","-22.89128","-46.91705"
"DR 01","Bueiro","SPA 003/010","5,640","Bueiro Simples Tubular de Concreto","11","0,6","-22.9188","-46.3847","-22.9188","-46.3849"
"DR 01","Bueiro","SP 147","5,900","Bueiro Simples Tubular de Concreto","14","0,6","-22.5572","-46.5608","-22.5572","-46.5608"
"DR 01","Bueiro","SP 107","5,900","Bueiro Simples Tubular de Concreto","10","0,6","-22.685","-46.8823","-22.685","-46.8822"
"DR 01","Bueiro","SPA 003/010","5,970","Bueiro Simples Tubular de Concreto","10","0,6","-22.921","-46.3842","-22.9211","-46.3842"
"DR 01","Bueiro","SPA 066/300","5,980","Bueiro Simples Tubular de Concreto","19","0,4","-23.1619","-47.0215","-23.1619","-47.0215"
"DR 01","Bueiro","SPA 066/300","6,000","Bueiro Simples Tubular de Concreto","18,5","0,6","-23.1619","-47.0218","-23.1619","-47.0218"
"DR 01","Bueiro","SP 081","6,000","Bueiro Simples Tubular de Concreto","13,5","0,6","-22.8919","-46.9134","-22.8919","-46.9133"
"DR 01","Bueiro","SPA 009/010","6,100","Bueiro Simples Tubular de Concreto","14","0,6","-22.9215","-46.5303","-22.9193","-46.4985"
"DR 01","Bueiro","SPA 066/300","6,200","Bueiro Simples Tubular de Concreto","15,3","0,6","-23.1615","-47.0233","-23.1615","-47.0233"
"DR 01","Bueiro","SP 105","6,200","Bueiro Simples Tubular de Concreto","10","0,6","-22.5734","-46.7442","-22.5733","-46.7443"
"DR 01","Bueiro","SP 147","6,300","Bueiro Simples Tubular de Concreto","14","0,6","-22.5535","-46.5622","-22.5542","-46.5617"
"DR 01","Bueiro","SPA 109/008","6,500","Bueiro Simples Tubular de Concreto","8","0,6","-22.791","-46.4893","-22.8037","-46.4931"
"DR 01","Bueiro","SPA 003/010","6,580","Bueiro Simples Tubular de Concreto","7,6","0,6","-22.9249","-46.3797","-22.9247","-46.3797"
"DR 01","Bueiro","SPA 109/008","6,600","Bueiro Simples Tubular de Concreto","8","0,6","-22.8033","-46.4922","-22.8033","-46.4922"
"DR 01","Bueiro","SP 105","6,600","Bueiro Simples Tubular de Concreto","8","0,4","-22.5726","-46.7468","-22.5726","-46.7468"
"DR 01","Bueiro","SPA 003/010","6,830","Bueiro Simples Tubular de Concreto","7,5","0,6","-22.9259","-46.3777","-22.9258","-46.3776"
"DR 01","Bueiro","SP 105","6,870","Bueiro Simples Tubular de Concreto","10","0,6","-22.5717","-46.7475","-22.5716","-46.7474"
"DR 01","Bueiro","SPA 009/010","6,930","Bueiro Simples Tubular de Concreto","12","0,6","-22.9239","-46.5024","-22.9238","-46.5025"
"DR 01","Bueiro","SPA 003/010","6,950","Bueiro Simples Tubular de Concreto","7","0,6","-22.9262","-46.3766","-22.9262","-46.3766"
"DR 01","Bueiro","SP 105","6,960","Bueiro Simples Tubular de Concreto","10","0,6","-22.5711","-46.7506","-22.5711","-46.7505"
"DR 01","Bueiro","SP 105","7,000","Bueiro Simples Tubular de Concreto","12","0,8","-22.5702","-46.7521","-22.5702","-46.7521"
"DR 01","Bueiro","SP 073","7,070","Bueiro Simples Tubular de Concreto","11","0,6","-22.9983","-47.0851","-22.9983","-47.085"
"DR 01","Bueiro","SPA 003/010","7,079","Bueiro Simples Tubular de Concreto","7","0,6","-22.9266","-46.3755","-22.9265","-46.3754"
