"Regional","Elemento","Rodovia","KM inicial","KM final","Tipo","Extensão (m)","Latitude","Longitude"
"DR 13","OAE","SP 201","3,523","3,563","Ponte","40",,
"DR 13","OAE","SP 201","8,523","8,699","Ponte","176",,
"DR 13","OAE","SP 201","23,364","23,383","Viaduto","19",,
"DR 13","OAE","SP 207","5,989","6,001","Ponte","12",,
"DR 13","OAE","SP 207","7,144","7,162","Ponte","18",,
"DR 13","OAE","SP 207","12,573","12,593","Ponte","20",,
"DR 13","OAE","SP 207","15,734","15,762","Ponte","28",,
"DR 13","OAE","SP 207","21,958","21,993","Ponte","35",,
"DR 13","OAE","SP 207","28,731","28,751","Ponte","20",,
"DR 13","OAE","SP 207","33,481","33,481","Viaduto","0",,
"DR 13","OAE","SP 211","0,288","0,318","Ponte","30",,
"DR 13","OAE","SP 215","23,169","23,179","Ponte","10",,
"DR 13","OAE","SP 215","29,884","29,93","Viaduto","46",,
"DR 13","OAE","SP 215","30,327","30,364","Viaduto","37",,
"DR 13","OAE","SP 215","30,615","30,615","Passarela","Não se aplica*","-21,842114","-46,904484"
"DR 13","OAE","SP 215","31,078","31,107","Viaduto","29",,
"DR 13","OAE","SP 215","37,063","37,073","Ponte","10",,
"DR 13","OAE","SP 225","0","0,01","Viaduto","10",,
"DR 13","OAE","SP 225","6,158","6,216","Viaduto","58",,
"DR 13","OAE","SP 225","34,678","34,758","Ponte","80",,
"DR 13","OAE","SP 225","38,608","38,608","Viaduto","0",,
"DR 13","OAE","SP 225","44,894","44,894","Viaduto","0",,
"DR 13","OAE","SP 225","47,47","47,48","Viaduto","10",,
"DR 13","OAE","SP 225","49,194","49,224","Ponte","30",,
"DR 13","OAE","SP 225","49,662","49,716","Viaduto","54",,
"DR 13","OAE","SP 225","51,273","51,303","Ponte","30",,
"DR 13","OAE","SP 225","76,67","76,77","Ponte","100",,
"DR 13","OAE","SP 225","91,682","91,698","Viaduto","16",,
"DR 13","OAE","SP 253","15,56","15,599","Ponte","39",,
"DR 13","OAE","SP 253","20,004","20,024","Ponte","20",,
"DR 13","OAE","SP 304","121,114","121,142","Viaduto","28",,
"DR 13","OAE","SP 304","123,341","123,356","Viaduto","15",,
"DR 13","OAE","SP 304","123,351","123,371","Viaduto","20",,
"DR 13","OAE","SP 304","123,541","123,551","Viaduto","10",,
"DR 13","OAE","SP 304","123,551","123,561","Viaduto","10",,
"DR 13","OAE","SP 304","125,01","125,01","Passarela","Não se aplica*","-22,753082","-47,295244"
"DR 13","OAE","SP 304","125,539","125,548","Viaduto","9",,
"DR 13","OAE","SP 304","126,323","126,323","Passarela","Não se aplica*","-22,755994","-47,307592"
"DR 13","OAE","SP 304","127,114","127,184","Ponte","70",,
"DR 13","OAE","SP 304","127,373","127,403","Viaduto","30",,
"DR 13","OAE","SP 304","128,715","128,715","Passarela","Não se aplica*","-22,760184","-47,330248"
"DR 13","OAE","SP 304","129,074","129,094","Viaduto","20",,
"DR 13","OAE","SP 304","129,694","129,694","Viaduto","0",,
"DR 13","OAE","SP 304","132,322","132,322","Passarela","Não se aplica*","-22,762763","-47,365375"
"DR 13","OAE","SP 304","133,906","133,906","Passarela","Não se aplica*","-22,763897","-47,380773"
"DR 13","OAE","SP 304","134,771","134,771","Passarela","Não se aplica*","-22,764493","-47,389124"
"DR 13","OAE","SP 304","135,026","135,045","Viaduto","19",,
"DR 13","OAE","SP 304","135,315","135,315","Passarela","Não se aplica*","-22,764815","-47,394396"
"DR 13","OAE","SP 304","135,814","135,814","Passarela","Não se aplica*","-22,765213","-47,399311"
"DR 13","OAE","SP 304","136,114","136,154","Viaduto","40",,
"DR 13","OAE","SP 304","136,353","136,383","Viaduto","30",,
"DR 13","OAE","SP 304","136,373","136,393","Viaduto","20",,
"DR 13","OAE","SP 304","136,922","136,922","Passarela","Não se aplica*","-22,76597","-47,410072"
"DR 13","OAE","SP 304","137,042","137,102","Viaduto","60",,
"DR 13","OAE","SP 304","139,18","139,21","Viaduto","30",,
"DR 13","OAE","SP 304","141,548","141,548","Viaduto","0",,
"DR 13","OAE","SP 304","142,036","142,036","Viaduto","0",,
"DR 13","OAE","SP 304","143,565","143,583","Viaduto","18",,
"DR 13","OAE","SP 304","143,575","143,595","Viaduto","20",,
"DR 13","OAE","SP 304","143,805","143,835","Ponte","30",,
"DR 13","OAE","SP 304","143,825","143,845","Ponte","20",,
"DR 13","OAE","SP 304","145,694","145,714","Viaduto","20",,
"DR 13","OAE","SP 304","146,67","146,67","Viaduto","0",,
"DR 13","OAE","SP 304","149,266","149,286","Viaduto","20",,
"DR 13","OAE","SP 304","149,266","149,296","Viaduto","30",,
"DR 13","OAE","SP 304","149,376","149,396","Ponte","20",,
"DR 13","OAE","SP 304","149,386","149,456","Ponte","70",,
"DR 13","OAE","SP 304","152,464","152,503","Viaduto","39",,
"DR 13","OAE","SP 304","152,473","152,513","Viaduto","40",,
"DR 13","OAE","SP 304","155,397","155,406","Viaduto","9",,
"DR 13","OAE","SP 304","156,473","156,473","Viaduto","0",,
"DR 13","OAE","SP 304","157,668","157,668","Viaduto","0",,
"DR 13","OAE","SP 304","157,708","157,708","Viaduto","0",,
"DR 13","OAE","SP 304","159,457","159,516","Viaduto","59",,
"DR 13","OAE","SP 304","159,457","159,536","Viaduto","79",,
"DR 13","OAE","SP 304","159,467","159,477","Ponte","10",,
"DR 13","OAE","SP 304","165,925","165,925","Passarela","Não se aplica*","-22,700655","-47,65851"
"DR 13","OAE","SP 304","168,543","168,593","Ponte","50",,
"DR 13","OAE","SP 304","169,653","169,664","Viaduto","11",,
"DR 13","OAE","SP 306","0","0,08","Viaduto","80",,
"DR 13","OAE","SP 306","10,151","10,161","Ponte","10",,
"DR 13","OAE","SP 306","17,335","17,405","Viaduto","70",,
"DR 13","OAE","SP 306","19,578","19,618","Viaduto","40",,
"DR 13","OAE","SP 306","19,618","19,618","Ponte","0",,
"DR 13","OAE","SP 306","19,618","19,618","Passarela","Não se aplica*","-22,766304","-47,416327"
"DR 13","OAE","SP 306","20,005","20,005","Passarela","Não se aplica*","-22,766847","-47,423605"
"DR 13","OAE","SP 306","21,505","21,505","Passarela","Não se aplica*","-22,765196","-47,434412"
"DR 13","OAE","SP 306","24,807","24,826","Ponte","19",,
"DR 13","OAE","SP 306","27,764","27,839","Ponte","75",,
"DR 13","OAE","SP 306","38,981","39,011","Ponte","30",,
"DR 13","OAE","SP 316","163,278","163,308","Viaduto","30",,
"DR 13","OAE","SP 316","163,278","163,308","Viaduto","30",,
"DR 13","OAE","SP 316","163,427","163,427","Passarela","Não se aplica*","-22,478935","-47,457204"
"DR 13","OAE","SP 316","171,138","171,147","Ponte","9",,
"DR 13","OAE","SP 316","172,778","172,787","Ponte","9",,
"DR 13","OAE","SP 316","172,787","172,797","Ponte","10",,
"DR 13","OAE","SP 316","173,792","173,792","Passarela","Não se aplica*","-22,445908","-47,542489"
"DR 13","OAE","SP 316","175,54","175,555","Ponte","15",,
"DR 13","OAE","SP 316","175,559","175,578","Ponte","19",,
"DR 13","OAE","SP 328","200,4","200,4","Viaduto","0",,
"DR 13","OAE","SP 328","200,4","200,4","Viaduto","0",,
"DR 13","OAE","SP 328","212,32","212,329","Ponte","9",,
"DR 13","OAE","SP 328","214,985","214,995","Ponte","10",,
"DR 13","OAE","SP 328","219,086","219,105","Ponte","19",,
"DR 13","OAE","SP 332","272,799","272,799","Passarela","Não se aplica*","-21,707666","-47,28176"
"DR 13","OAE","SP 332","273,701","273,741","Ponte","40",,
"DR 13","OAE","SP 332","273,911","273,941","Viaduto","30",,
"DR 13","OAE","SP 338","277,253","277,293","Ponte","40",,
"DR 13","OAE","SP 338","278,193","278,212","Ponte","19",,
"DR 13","OAE","SP 344","242,773","242,81","Viaduto","37",,
"DR 13","OAE","SP 344","242,792","242,82","Viaduto","28",,
"DR 13","OAE","SP 344","247,25","247,265","Ponte","15",,
"DR 13","OAE","SP 344","259,168","259,187","Ponte","19",,
"DR 13","OAE","SP 344","259,177","259,225","Ponte","48",,
"DR 13","OAE","SP 344","260,568","260,618","Ponte","50",,
"DR 13","OAE","SP 344","260,578","260,618","Ponte","40",,
"DR 13","OAE","SP 344","267,104","267,122","Ponte","18",,
"DR 13","OAE","SP 344","269,971","269,99","Ponte","19",,
"DR 13","OAE","SP 344","272,268","272,286","Ponte","18",,
"DR 13","OAE","SP 344","272,277","272,296","Ponte","19",,
"DR 13","OAE","SP 344","273,948","273,967","Ponte","19",,
"DR 13","OAE","SP 344","274,912","274,942","Ponte","30",,
"DR 13","OAE","SP 344","274,932","274,952","Ponte","20",,
"DR 13","OAE","SP 344","297,96","297,999","Ponte","39",,
"DR 13","OAE","SP 346","200,7","200,712","Viaduto","12",,
"DR 13","OAE","SP 346","201,369","201,369","Passarela","Não se aplica*","-22,186148","-46,765065"
"DR 13","OAE","SP 346","203,651","203,67","Viaduto","19",,
"DR 13","OAE","SP 346","203,66","203,679","Viaduto","19",,
"DR 13","OAE","SP 346","213,097","213,097","Passarela","Não se aplica*","-22,118011","-46,679956"
"DR 13","OAE","SP 350","272,92","273,04","Ponte","120",,
"DR 13","OAE","SP 350","281,929","281,939","Ponte","10",,
"DR 13","OAE","SPA 014/253","0,8","0,817","Ponte","17",,
"DR 13","OAE","SPA 017/225","4,973","5,013","Ponte","40",,
"DR 13","OAE","SPA 029/207","7,206","7,216","Viaduto","10",,
"DR 13","OAE","SPA 029/207","7,216","7,232","Viaduto","16",,
"DR 13","OAE","SPA 045/127","0","0,018","Viaduto","18",,
"DR 13","OAE","SPA 045/127","0","0,018","Viaduto","18",,
"DR 13","OAE","SPA 045/127","2,447","2,465","Ponte","18",,
"DR 13","OAE","SPA 084/191","3,153","3,186","Ponte","33",,
"DR 13","OAE","SPA 097/225","0","0,014","Viaduto","14",,
"DR 13","OAE","SPA 097/225","0","0,02","Viaduto","20",,
"DR 13","OAE","SPA 119/330","4,379","4,389","Ponte","10",,
"DR 13","OAE","SPA 127/304","0","0","Viaduto","0",,
"DR 13","OAE","SPA 127/304","0","0","Viaduto","0",,
"DR 13","OAE","SPA 149/215","10,489","10,499","Ponte","10",,
"DR 13","OAE","SPA 149/215","10,833","10,842","Ponte","9",,
"DR 13","OAE","SPA 149/215","11,073","11,087","Ponte","14",,
"DR 13","OAE","SPA 179/340","0","0,019","Viaduto","19",,
"DR 13","OAE","SPA 179/340","2,183","2,228","Viaduto","45",,
"DR 13","OAE","SPA 194/330","1,286","1,304","Ponte","18",,
"DR 13","OAE","SPA 198/330","0,015","0,015","Ponte","0",,
"DR 13","OAE","SPA 226/342","0,165","0,206","Viaduto","41",,
"DR 13","OAE","SPA 233/342","1,257","1,265","Ponte","8",,
"DR 13","OAE","SPA 251/342","1,851","1,865","Ponte","14",,
"DR 13","OAE","SPA 270/350","3,041","3,061","Ponte","20",,
"DR 13","OAE","SPA 279/340","0","0,02","Viaduto","20",,
"DR 13","OAE","SPA 279/340","0","0,02","Viaduto","20",,
"DR 13","OAE","SPA 280/340","0","0","Viaduto","0",,
"DR 13","OAE","SPI 177/342","10,589","10,663","Ponte","74",,
"DR 14","OAE","SP 322","395,82","395,85","Viaduto","30",,
"DR 14","OAE","SP 322","396,084","396,114","Viaduto","30",,
"DR 14","OAE","SP 322","397,951","397,991","Viaduto","40",,
"DR 14","OAE","SP 322","397,961","398,001","Viaduto","40",,
"DR 14","OAE","SP 322","399,288","399,3","Ponte","12",,
"DR 14","OAE","SP 322","406,886","406,902","Ponte","16",,
"DR 14","OAE","SP 322","410,529","410,547","Ponte","18",,
"DR 14","OAE","SP 322","411,064","411,082","Ponte","18",,
"DR 14","OAE","SP 322","440,922","440,942","Ponte","20",,
"DR 14","OAE","SP 322","446,375","446,395","Ponte","20",,
"DR 14","OAE","SP 322","446,455","446,475","Ponte","20",,
"DR 14","OAE","SP 322","446,976","446,993","Viaduto","17",,
"DR 14","OAE","SP 322","455,785","455,795","Ponte","10",,
"DR 14","OAE","SP 322","473,753","473,763","Viaduto","10",,
"DR 14","OAE","SP 322","477,719","477,729","Ponte","10",,
"DR 14","OAE","SP 322","486,046","486,076","Ponte","30",,
"DR 14","OAE","SP 322","492,921","492,938","Ponte","17",,
"DR 14","OAE","SP 322","500,845","500,856","Ponte","11",,
"DR 14","OAE","SP 322","501,125","501,145","Viaduto","20",,
"DR 14","OAE","SP 322","502,514","502,544","Ponte","30",,
"DR 14","OAE","SP 322","505,68","505,699","Ponte","19",,
"DR 14","OAE","SP 322","507,743","507,753","Ponte","10",,
"DR 14","OAE","SP 322","510,829","510,845","Ponte","16",,
"DR 14","OAE","SP 322","510,949","510,958","Ponte","9",,
"DR 14","OAE","SP 322","510,958","510,976","Ponte","18",,
"DR 14","OAE","SP 322","545,967","546,007","Ponte","40",,
"DR 14","OAE","SP 322","548,272","548,286","Ponte","14",,
"DR 14","OAE","SP 326","428,853","428,883","Viaduto","30",,
"DR 14","OAE","SP 326","428,873","428,903","Viaduto","30",,
"DR 14","OAE","SP 326","431,448","431,468","Ponte","20",,
"DR 14","OAE","SP 326","431,458","431,478","Ponte","20",,
"DR 14","OAE","SP 326","438,352","438,372","Ponte","20",,
"DR 14","OAE","SP 326","441,08","441,09","Ponte","10",,
"DR 14","OAE","SP 326","457,449","457,459","Ponte","10",,
"DR 14","OAE","SP 326","466,395","466,395","Viaduto","0",,
"DR 14","OAE","SP 326","467,199","467,199","Viaduto","0",,
"DR 14","OAE","SP 326","468,232","468,407","Ponte","175",,
"DR 14","OAE","SP 345","124,165","124,165","Ponte","0",,
"DR 14","OAE","SP 345","130,4","130,417","Ponte","17",,
"DR 14","OAE","SP 345","130,839","130,856","Ponte","17",,
"DR 14","OAE","SP 345","139,309","139,319","Ponte","10",,
"DR 14","OAE","SP 353","4,116","4,136","Ponte","20",,
"DR 14","OAE","SP 353","6,364","6,384","Ponte","20",,
"DR 14","OAE","SP 353","13,256","13,269","Ponte","13",,
"DR 14","OAE","SP 373","152,402","152,421","Viaduto","19",,
"DR 14","OAE","SP 373","177,267","177,287","Ponte","20",,
"DR 14","OAE","SP 373","180,334","180,364","Ponte","30",,
"DR 14","OAE","SP 373","185,197","185,218","Ponte","21",,
"DR 14","OAE","SP 385","27,378","27,391","Ponte","13",,
"DR 14","OAE","SP 385","27,458","27,47","Ponte","12",,
"DR 14","OAE","SP 385","28,57","28,583","Ponte","13",,
"DR 14","OAE","SP 385","29,474","29,486","Ponte","12",,
"DR 14","OAE","SP 413","26,914","27,124","Ponte","210",,
"DR 14","OAE","SP 425","39,007","39,037","Ponte","30",,
"DR 14","OAE","SP 425","41,793","41,92","Ponte","127",,
"DR 14","OAE","SP 425","46,495","46,515","Viaduto","20",,
"DR 14","OAE","SP 425","79,474","79,5","Viaduto","26",,
"DR 14","OAE","SP 425","80,186","80,479","Ponte","293",,
"DR 14","OAE","SP 425","80,343","80,343","Passarela","Não se aplica*","-20,451468","-48,455259"
"DR 14","OAE","SP 425","92,12","92,15","Viaduto","30",,
"DR 14","OAE","SP 425","92,13","92,16","Viaduto","30",,
"DR 14","OAE","SP 425","92,638","92,668","Viaduto","30",,
"DR 14","OAE","SP 425","93,968","93,998","Viaduto","30",,
"DR 14","OAE","SP 425","93,998","94,028","Viaduto","30",,
"DR 14","OAE","SP 425","96,724","96,754","Viaduto","30",,
"DR 14","OAE","SP 425","96,734","96,764","Viaduto","30",,
"DR 14","OAE","SP 425","97,656","97,666","Viaduto","10",,
"DR 14","OAE","SP 425","97,656","97,666","Viaduto","10",,
"DR 14","OAE","SP 425","99,567","99,577","Viaduto","10",,
"DR 14","OAE","SP 425","101,462","101,477","Ponte","15",,
"DR 14","OAE","SP 425","111,126","111,136","Ponte","10",,
"DR 14","OAE","SP 425","115,834","115,844","Viaduto","10",,
"DR 14","OAE","SP 425","116,768","116,788","Ponte","20",,
"DR 14","OAE","SP 425","131,256","131,269","Ponte","13",,
"DR 14","OAE","SP 425","134,121","134,141","Viaduto","20",,
"DR 14","OAE","SP 425","135,212","135,252","Ponte","40",,
"DR 14","OAE","SP 425","153,404","153,434","Viaduto","30",,
"DR 14","OAE","SP 425","155,865","155,931","Ponte","66",,
"DR 14","OAE","SPA 030/323","0,8","0,815","Viaduto","15",,
"DR 14","OAE","SPA 140/373","0,581","0,599","Ponte","18",,
"DR 14","OAE","SPA 194/351","0,328","0,368","Ponte","40",,
"DR 14","OAE","SPA 357/326","8,362","8,391","Ponte","29",,
"DR 14","OAE","SPA 357/326","10,759","10,803","Ponte","44",,
"DR 14","OAE","SPA 379/326","0","0,023","Viaduto","23",,
"DR 14","OAE","SPA 379/326","2,222","2,242","Ponte","20",,
"DR 14","OAE","SPA 379/326","2,52","2,579","Viaduto","59",,
"DR 14","OAE","SPA 405/326","0","0,017","Viaduto","17",,
"DR 14","OAE","SPA 462/322","1,818","1,834","Ponte","16",,
"DR 14","OAE","SPA 462/322","2,047","2,065","Ponte","18",,
"DR 14","OAE","SPA 462/322","3,333","3,352","Ponte","19",,
"DR 14","OAE","SPA 498/322","0,455","0,468","Ponte","13",,
"DR 14","OAE","SPA 523/322","2,207","2,219","Ponte","12",,
"DR 14","OAE","SPA 523/322","2,906","2,916","Ponte","10",,
