arquivo,campo,tipo,descricao,exemplo,obrigatorio,dominio,observacoes,tema,responsavel,licenca,frequencia de atualizacao,cobertura geografica,descricao do dado,observacoes gerais,data ultima atualizacao
"Acesso.xlsx","Regional","string","Código da Diretoria Regional que o acesso faz parte","DR 01","sim","DR 01, DR 02, ..., DR 14","","rodovias","SAC","Outros","eventual","SP","Localização e informações relacionadas a acessos a vias de ligação à rodovia, que permite o ingresso ou egresso dos veículos aos locais adjacentes à via.","","2025-06-13"
"Acesso.xlsx","Elemento","string","Tipo/função do elemento rodoviário","Acesso","sim","Único","","rodovias","SAC","Outros","eventual","SP","Localização e informações relacionadas a acessos a vias de ligação à rodovia, que permite o ingresso ou egresso dos veículos aos locais adjacentes à via.","","2025-06-13"
"Acesso.xlsx","Rodovia","string","Código da rodovia associada ao acesso","SPA 109/008","sim","Multivariado","","rodovias","SAC","Outros","eventual","SP","Localização e informações relacionadas a acessos a vias de ligação à rodovia, que permite o ingresso ou egresso dos veículos aos locais adjacentes à via.","","2025-06-13"
"Acesso.xlsx","KM","float","Posição do início do acesso em relação a extensão da rodovia de referência","0.282","sim","Multivariado","","rodovias","SAC","Outros","eventual","SP","Localização e informações relacionadas a acessos a vias de ligação à rodovia, que permite o ingresso ou egresso dos veículos aos locais adjacentes à via.","","2025-06-13"
"Acesso.xlsx","Largura (m)","float","Largura da rodovia-acesso","4.5","sim","4.5, 4, 8, 5, 2, 6, 16, 10, 7, 12","","rodovias","SAC","Outros","eventual","SP","Localização e informações relacionadas a acessos a vias de ligação à rodovia, que permite o ingresso ou egresso dos veículos aos locais adjacentes à via.","","2025-06-13"
"Acesso.xlsx","Latitude","float","Coordenada de latitude","-22.815972","sim","","","rodovias","SAC","Outros","eventual","SP","Localização e informações relacionadas a acessos a vias de ligação à rodovia, que permite o ingresso ou egresso dos veículos aos locais adjacentes à via.","","2025-06-13"
"Acesso.xlsx","Longitude","float","Coordenada de longitude","-46.544196","sim","","","rodovias","SAC","Outros","eventual","SP","Localização e informações relacionadas a acessos a vias de ligação à rodovia, que permite o ingresso ou egresso dos veículos aos locais adjacentes à via.","","2025-06-13"
